product_id,seller_id,shipping_limit_date,price,freight_value,review_score,customer_id,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_id,CEP_customer,cod_estado_customer,CEP_seller,cod_estado_seller,payment_sequential,payment_type,payment_installments,payment_value
7614c62b86a81021243e438cfde78ccc,900ba814c251a692506d7834c1218441,1535946623,492.75,21.62,4,2f08bf21468eccdf69598582d4b89fb5,1535155780,1535428223,1535549040,1535654077,1535932800,53,1135,5,9900,30,39,38,1,7082,SP,13328,SP,1,boleto,1,514.37
bf06a69bb27c58156391de458700f3e7,6560211a19b47992c3666cc44a7e94c0,1535463882,38.0,7.53,4,93d82c58a8f2b0d2db80f16867b99edd,1535117237,1535118282,1535394780,1535473925,1535673600,60,272,5,300,16,2,11,10,13010,SP,5849,SP,1,credit_card,1,45.53
dfbbf137ccb6af48e66d186a33118579,56e361f411e38dcef17cdc2a3d99628b,1535423710,62.0,8.59,4,6e6943d8c4822ead782b17d532e6ee63,1535035297,1535164510,1535381340,1535471936,1535500800,45,722,2,450,20,30,30,2,6060,SP,7113,SP,1,boleto,1,70.59
d9a5a5120d4d357871acd5408cb10e18,20d83f3ef0e6925fd74bfd59170babf7,1535664315,59.9,7.68,5,0b5f6687d659478f1747caed607c4ec5,1535490646,1535491515,1535548620,1535636333,1537920000,40,817,1,100,16,5,16,18,9185,SP,2804,SP,1,credit_card,1,67.58
2bd9b51a9ab079e095aca987845d3266,81f89e42267213cb94da7ddc301651da,1535655847,85.0,13.26,5,c713fee6f70301b6bf60701902502703,1535395554,1535396647,1535465820,1535664697,1536192000,55,450,1,300,25,15,25,20,16901,SP,19063,SP,1,credit_card,5,98.26
09fbb9fc5bffc1ce6dc2f66289dfcb05,218d46b86c1881d022bce9c68a7d4b15,1535426110,76.0,18.83,5,a7089cdfb6b910afd377368f3335b1e5,1534952290,1535080510,1535129160,1535659166,1535673600,57,1666,1,3675,28,33,25,6,9230,SP,14070,SP,1,boleto,1,94.83
9c98b59719a74f32903537bc5c9262ce,acce39e832338debb07b02385cde5967,1535104520,139.9,27.96,5,3f62271cc144183c56e7db438c8cba08,1534930825,1534931720,1534953840,1535393858,1536796800,40,892,10,2850,32,52,19,13,24711,RJ,32110,MG,1,credit_card,3,167.86
43cc8e4d981bc04b9d78b12e8a908d41,6061155addc1e54b4cfb51c1c2a32ad8,1535108725,1240.0,102.63,5,f0d62fcceaafaea74a143d7fce54f1f4,1534935196,1534935925,1534949040,1535392928,1536019200,44,1793,1,11450,80,26,26,1,38065,MG,13043,SP,1,credit_card,6,1342.63
6d44b2c01b6843eb2e68beddf853dd82,f22a247b79dd22ecd91dc8e3b2a1b07c,1535352307,24.99,17.98,5,1b0555269127c13e727a1f3cb545faf2,1535005935,1535006707,1535027280,1535412389,1536537600,25,1236,1,1450,20,20,11,1,81830,PR,8573,SP,1,credit_card,2,42.97
c92a761aaccfb831d4220d44648f260a,f8db351d8c4c4c22c6835c19a46f01b0,1535381715,24.9,18.27,5,e55ddd4fde4608bc77a6494772b5bd3b,1534948848,1534949715,1535104560,1535582923,1536537600,55,485,6,100,18,8,12,17,20511,RJ,13324,SP,1,credit_card,4,43.17
1531b09bff3fb016e5f0b4435b643672,dbd66278cbfe1aa1000f90a217ca4695,1535094260,64.5,19.64,5,f146be55cefde6a5c21dd2c13d699bc8,1534920407,1534921460,1534932780,1535416164,1536710400,45,676,2,500,25,11,18,33,38360,MG,5588,SP,1,credit_card,1,84.14
dd12801e4d1919e84bf6f90167f22fb5,b499c00f28f4b7069ff6550af8c1348a,1535968513,44.99,8.49,3,24a982bba67ae6828be5c20e4b24dbf7,1534931026,1534931713,1535028780,1535149115,1536105600,58,360,4,450,16,5,20,56,5692,SP,13481,SP,1,credit_card,10,111.96
bc0d2d816d425e6ce3e80d8b9887d324,b499c00f28f4b7069ff6550af8c1348a,1535968513,49.99,8.49,3,24a982bba67ae6828be5c20e4b24dbf7,1534931026,1534931713,1535028780,1535149115,1536105600,58,360,4,500,16,5,20,56,5692,SP,13481,SP,1,credit_card,10,111.96
